Time,Pos_x,Pos_y,Pos_z,Vel_x,Vel_y,Vel_zRoll,Pitch,Yaw
00:10:13.28,-0.085,0.028,-1.025,0.180,0.011,-0.562,357.623,351.931,0.000
00:10:13.30,-0.083,0.028,-1.032,0.197,0.006,-0.563,357.634,352.091,0.013
00:10:13.34,-0.075,0.028,-1.053,0.245,-0.010,-0.567,357.614,352.192,0.057
00:10:13.35,-0.071,0.028,-1.062,0.266,-0.018,-0.569,357.627,352.341,0.076
00:10:13.37,-0.066,0.028,-1.072,0.288,-0.028,-0.571,357.641,352.482,0.096
00:10:13.41,-0.054,0.026,-1.093,0.337,-0.045,-0.577,357.625,352.609,0.139
00:10:13.43,-0.049,0.026,-1.102,0.355,-0.051,-0.580,357.644,352.751,0.158
00:10:13.46,-0.036,0.024,-1.122,0.397,-0.065,-0.586,357.629,352.856,0.202
00:10:13.47,-0.031,0.023,-1.130,0.413,-0.071,-0.587,357.640,353.007,0.221
00:10:13.51,-0.015,0.020,-1.151,0.457,-0.089,-0.590,357.625,353.119,0.272
00:10:13.53,-0.007,0.018,-1.161,0.475,-0.096,-0.591,357.632,353.251,0.299
00:10:13.57,0.012,0.014,-1.183,0.520,-0.113,-0.596,357.614,353.360,0.352
00:10:13.58,0.021,0.012,-1.194,0.539,-0.121,-0.599,357.631,353.480,0.381
00:10:13.60,0.030,0.010,-1.204,0.558,-0.129,-0.601,357.642,353.610,0.408
00:10:13.64,0.052,0.005,-1.227,0.600,-0.145,-0.604,357.620,353.691,0.459
00:10:13.66,0.065,0.002,-1.239,0.621,-0.154,-0.607,357.623,353.821,0.489
00:10:13.70,0.089,-0.004,-1.262,0.662,-0.171,-0.611,357.605,353.903,0.541
00:10:13.71,0.099,-0.007,-1.272,0.678,-0.179,-0.611,357.628,354.022,0.570
00:10:13.74,0.116,-0.012,-1.287,0.702,-0.191,-0.612,357.644,354.135,0.609
00:10:13.77,0.139,-0.018,-1.307,0.734,-0.205,-0.617,357.633,354.238,0.664
00:10:13.79,0.152,-0.021,-1.317,0.750,-0.212,-0.617,357.648,354.361,0.700
00:10:13.81,0.172,-0.027,-1.333,0.776,-0.225,-0.620,357.663,354.473,0.748
00:10:13.84,0.195,-0.034,-1.351,0.802,-0.238,-0.623,357.657,354.558,0.801
00:10:13.87,0.216,-0.040,-1.368,0.824,-0.250,-0.624,357.667,354.655,0.852
00:10:13.89,0.232,-0.045,-1.379,0.841,-0.258,-0.625,357.683,354.762,0.894
00:10:13.92,0.261,-0.054,-1.401,0.871,-0.273,-0.627,357.668,354.830,0.955
00:10:13.95,0.277,-0.059,-1.412,0.887,-0.281,-0.629,357.683,354.944,0.998
00:10:13.97,0.292,-0.064,-1.423,0.902,-0.289,-0.630,357.696,355.064,1.025
00:10:13.99,0.314,-0.071,-1.438,0.920,-0.301,-0.630,357.711,355.158,1.073
00:10:14.03,0.349,-0.083,-1.462,0.948,-0.317,-0.633,357.714,355.232,1.137
00:10:14.05,0.366,-0.088,-1.473,0.962,-0.325,-0.635,357.721,355.325,1.175
00:10:14.07,0.386,-0.095,-1.486,0.978,-0.334,-0.636,357.722,355.432,1.216
